card_no,总交易次数,总金额,欺诈次数,可疑次数,唯一商户,唯一地区,唯一设备,欺诈率,风险等级
6222025837082260,9,3281.66,0,0,8,5,9,0.0,低
6222025871743247,15,5941.96,0,0,13,9,15,0.0,低
6222025931025271,3,3395.4,0,0,2,3,3,0.0,低
6222025951406973,13,8867.78,0,0,12,7,12,0.0,低
6222021116402431,11,10390.55,0,0,11,6,11,0.0,低
6222025996775663,5,1619.03,0,0,4,4,5,0.0,低
6222026009268066,11,3758.85,0,0,9,7,11,0.0,低
6222026124453431,14,8338.45,0,0,13,9,13,0.0,低
6222026204041308,12,5484.45,0,0,10,8,12,0.0,低
6222026231117883,5,1466.37,0,0,5,4,4,0.0,低
6222026237376063,17,12927.84,0,0,16,8,17,0.0,低
6222026241752544,13,4232.16,0,0,12,6,12,0.0,低
6222026242173772,5,4158.24,0,0,5,3,5,0.0,低
6222026288227800,15,5872.73,0,1,15,8,15,0.0,低
6222026305160342,12,6128.9800000000005,0,0,12,7,12,0.0,低
6222026317189421,6,1892.2199999999998,0,0,6,5,6,0.0,低
6222026320115677,7,2796.23,0,0,7,6,7,0.0,低
6222021127978094,12,11413.51,0,0,12,7,12,0.0,低
6222026464693977,11,3571.5,0,1,10,6,11,0.0,低
6222026474354351,14,8993.31,0,0,14,8,13,0.0,低
6222026488854841,11,4293.4400000000005,0,0,8,7,11,0.0,低
6222021248786714,7,1856.79,0,0,7,6,7,0.0,低
6222026493800024,8,4143.22,0,0,8,6,8,0.0,低
6222026583444930,13,5485.33,0,0,12,9,13,0.0,低
6222026587537178,10,3473.9900000000002,0,1,10,6,10,0.0,低
6222026618926823,9,13319.51,0,0,8,4,9,0.0,低
6222026633778586,18,13143.2,0,0,14,10,18,0.0,低
6222026642201119,9,2996.91,0,0,9,7,9,0.0,低
6222026649827836,7,5849.67,0,0,6,5,7,0.0,低
6222026687206971,8,4549.39,0,0,7,7,7,0.0,低
6222026698759353,6,1166.23,0,0,6,6,6,0.0,低
6222021311570307,10,3814.85,0,1,9,8,10,0.0,低
6222026756332150,11,7444.7300000000005,0,0,11,7,11,0.0,低
6222026805759868,13,4555.15,0,1,12,7,12,0.0,低
6222026859286614,7,1757.75,0,0,6,5,7,0.0,低
6222026882074066,6,1359.79,0,0,6,4,6,0.0,低
6222026884882440,5,851.6700000000001,0,0,5,3,5,0.0,低
6222026923206003,7,3035.59,0,0,6,6,7,0.0,低
6222026923301988,9,2354.8,0,0,9,7,9,0.0,低
6222026924716023,16,10378.92,0,2,16,7,16,0.0,低
6222026928691380,10,4698.1900000000005,0,0,10,6,10,0.0,低
6222027010379415,11,8131.92,0,0,11,6,11,0.0,低
6222027045593274,8,5711.34,0,0,8,6,8,0.0,低
6222027049001493,16,4551.5599999999995,0,1,14,8,16,0.0,低
6222027099469983,10,6172.969999999999,0,0,10,7,9,0.0,低
6222027114223633,11,3779.25,0,0,8,7,11,0.0,低
6222027146318035,8,4622.15,0,0,7,7,8,0.0,低
6222027161404428,10,1951.01,0,0,9,7,10,0.0,低
6222027166868574,12,7085.26,0,0,12,5,12,0.0,低
6222027249213370,11,11171.390000000001,0,0,10,7,11,0.0,低
6222027271954644,10,2263.24,0,0,10,5,9,0.0,低
6222027292076361,9,12995.0,0,0,9,7,9,0.0,低
6222027333678472,8,1747.96,0,0,7,5,8,0.0,低
6222027380780055,10,3981.25,0,0,9,6,10,0.0,低
6222027393195616,6,3184.65,0,0,6,4,6,0.0,低
6222027418301077,17,9021.4,0,0,15,9,17,0.0,低
6222027462972995,12,7019.299999999999,0,0,11,9,12,0.0,低
6222027483366056,16,9268.45,0,0,13,9,16,0.0,低
6222027517938612,8,3270.24,0,0,7,7,8,0.0,低
6222027519578899,8,3953.3300000000004,0,0,8,6,8,0.0,低
6222027533932947,7,2581.26,0,0,7,5,7,0.0,低
6222027540301973,2,577.14,0,0,2,2,2,0.0,低
6222021422701550,9,5982.29,0,0,8,7,9,0.0,低
6222027597996327,10,4359.5,0,0,9,5,10,0.0,低
6222027625464411,11,3940.58,0,0,8,6,11,0.0,低
6222027635473142,5,4627.12,0,0,5,4,5,0.0,低
6222027648059419,11,6547.54,0,1,11,8,11,0.0,低
6222027665963761,15,3064.22,0,1,12,5,14,0.0,低
6222021470939445,5,1794.19,0,0,4,4,5,0.0,低
6222027805745017,11,8983.42,0,0,9,6,11,0.0,低
6222027825844140,12,7323.47,0,0,12,7,12,0.0,低
6222027852415525,9,2595.4799999999996,0,0,8,6,9,0.0,低
6222027887950851,5,483.28999999999996,0,0,5,4,5,0.0,低
6222028033702319,11,4233.11,0,0,9,6,11,0.0,低
6222028047877267,9,1824.42,0,0,8,7,8,0.0,低
6222028055556030,11,2680.53,0,0,11,5,11,0.0,低
6222028086172302,8,1740.49,0,0,7,6,8,0.0,低
6222028106906538,12,3294.2,0,1,11,7,11,0.0,低
6222028110054933,13,6328.16,0,0,12,7,13,0.0,低
6222028168204967,7,1704.75,0,0,6,4,7,0.0,低
6222028184602688,12,5145.67,0,0,11,9,12,0.0,低
6222028235363119,9,5215.51,0,0,8,6,9,0.0,低
6222028285786023,10,2505.81,0,0,10,6,10,0.0,低
6222028293453178,10,2711.66,0,0,10,7,10,0.0,低
6222029155819200,11,3281.56,0,0,9,9,11,0.0,低
6222028316648259,8,6264.08,0,0,7,5,8,0.0,低
6222028339176912,7,3538.81,0,0,6,5,7,0.0,低
6222028370987661,12,3653.77,0,1,12,8,12,0.0,低
6222028377088167,15,5076.43,0,0,13,9,15,0.0,低
6222028380507338,10,3154.85,0,0,10,6,10,0.0,低
6222028429141456,13,13555.470000000001,0,0,12,8,13,0.0,低
6222028478529823,8,4092.65,0,0,7,5,7,0.0,低
6222028507497883,8,1644.99,0,1,7,6,8,0.0,低
6222028531118333,9,2756.1800000000003,0,0,9,6,9,0.0,低
6222028588769565,13,4018.82,0,0,11,7,13,0.0,低
6222028612747444,7,4728.39,0,0,6,5,7,0.0,低
6222028664882079,14,6847.29,0,0,13,8,14,0.0,低
6222021965067727,8,4261.83,0,0,7,5,8,0.0,低
6222028763140509,9,2044.5900000000001,0,1,9,5,8,0.0,低
6222028826851692,7,3966.4399999999996,0,0,7,7,7,0.0,低
6222028854238082,9,5836.49,0,0,7,5,9,0.0,低
6222028868054898,10,4005.28,0,1,10,6,10,0.0,低
6222028879525611,9,1767.17,0,1,8,5,8,0.0,低
6222028934927891,6,5909.19,0,1,6,4,6,0.0,低
6222028943866829,9,4529.2,0,0,9,7,9,0.0,低
6222028982597239,15,7133.0,0,0,14,10,15,0.0,低
6222028987073217,6,6498.59,0,0,6,4,6,0.0,低
6222028995970241,9,1755.6200000000001,0,0,8,6,9,0.0,低
6222029080621072,9,8458.85,0,0,8,5,9,0.0,低
6222029123612497,21,6001.43,0,0,18,10,21,0.0,低
6222029673185158,13,5290.54,0,0,10,7,11,0.0,低
6222029677466102,10,2510.3999999999996,0,0,9,7,10,0.0,低
6222029691572571,13,6042.68,0,0,12,7,13,0.0,低
6222029697354961,10,14065.210000000001,0,0,9,6,10,0.0,低
6222029703905715,8,2346.92,0,0,8,4,8,0.0,低
6222029786748825,11,11946.11,0,1,11,5,11,0.0,低
6222029805620900,5,3243.4300000000003,0,0,4,4,5,0.0,低
6222029807209816,11,4874.46,0,0,10,7,11,0.0,低
6222029894264595,8,1887.98,0,0,8,5,8,0.0,低
6222029894847574,10,2062.53,0,0,10,7,10,0.0,低
6222029904586976,10,2399.92,0,1,9,6,10,0.0,低
6222029916336966,5,1415.04,0,0,5,4,5,0.0,低
6222029922723063,12,9008.11,0,0,10,8,12,0.0,低
6222029957813353,8,4088.9300000000003,0,0,7,6,7,0.0,低
6222029963334018,10,2342.46,0,0,10,6,9,0.0,低
6222021041531046,14,9971.58,0,0,13,8,14,0.0,低
6222021519709079,12,14393.89,0,0,12,7,12,0.0,低
6222021546696950,9,2946.9,0,1,9,7,9,0.0,低
6222021547374338,9,7341.76,0,0,9,6,8,0.0,低
6222021594312071,13,5843.22,0,0,13,6,13,0.0,低
6222021654477195,14,2736.36,0,0,14,9,14,0.0,低
6222021664847319,13,10847.67,0,0,12,9,13,0.0,低
6222021667779376,10,2169.16,0,0,9,8,10,0.0,低
6222021676168421,4,1282.3,0,1,4,4,4,0.0,低
6222021798112150,8,3221.82,0,0,6,6,8,0.0,低
6222021817804383,16,5929.780000000001,0,0,12,8,16,0.0,低
6222021855256552,11,6376.21,0,0,11,9,11,0.0,低
6222029285415473,10,3291.37,0,0,9,6,10,0.0,低
6222021945826486,13,5292.68,0,0,12,8,13,0.0,低
6222021955345537,12,2265.5499999999997,0,1,9,6,12,0.0,低
6222021958682846,9,6468.79,0,0,9,6,9,0.0,低
6222021083651970,8,4055.46,0,0,6,6,8,0.0,低
